flight_id,class_code,days_before,cumulative_bookings
1,A,330,0.0
1,A,300,0.01
1,A,270,0.03
1,A,240,0.07
1,A,210,0.17
1,A,180,0.42
1,A,150,0.88
1,A,120,1.71
1,A,90,2.88
1,A,60,3.86
1,A,30,4.45
1,A,14,4.52
1,A,7,4.68
1,A,3,4.68
1,A,1,4.68
1,A,0,4.68
1,B,330,0.07
1,B,300,0.17
1,B,270,0.41
1,B,240,1.03
1,B,210,2.39
1,B,180,5.52
1,B,150,12.12
1,B,120,24.8
1,B,90,39.19
1,B,60,52.12
1,B,30,61.87
1,B,14,64.66
1,B,7,64.66
1,B,3,65.41
1,B,1,65.9
1,B,0,65.9
1,C,330,0.01
1,C,300,0.03
1,C,270,0.08
1,C,240,0.2
1,C,210,0.48
1,C,180,1.1
1,C,150,2.41
1,C,120,4.88
1,C,90,7.55
1,C,60,10.35
1,C,30,12.08
1,C,14,12.24
1,C,7,13.11
1,C,3,13.11
1,C,1,13.11
1,C,0,13.11
1,D,330,0.0
1,D,300,0.01
1,D,270,0.02
1,D,240,0.04
1,D,210,0.09
1,D,180,0.21
1,D,150,0.47
1,D,120,0.91
1,D,90,1.43
1,D,60,1.91
1,D,30,2.22
1,D,14,2.37
1,D,7,2.42
1,D,3,2.42
1,D,1,2.42
1,D,0,2.46
1,F,330,0.0
1,F,300,0.0
1,F,270,0.0
1,F,240,0.01
1,F,210,0.03
1,F,180,0.06
1,F,150,0.14
1,F,120,0.27
1,F,90,0.45
1,F,60,0.58
1,F,30,0.69
1,F,14,0.71
1,F,7,0.74
1,F,3,0.74
1,F,1,0.74
1,F,0,0.74
1,H,330,0.04
1,H,300,0.1
1,H,270,0.25
1,H,240,0.61
1,H,210,1.48
1,H,180,3.47
1,H,150,7.55
1,H,120,15.17
1,H,90,24.45
1,H,60,32.46
1,H,30,37.67
1,H,14,38.71
1,H,7,40.31
1,H,3,40.31
1,H,1,40.31
1,H,0,40.62
1,I,330,0.0
1,I,300,0.01
1,I,270,0.02
1,I,240,0.04
1,I,210,0.09
1,I,180,0.22
1,I,150,0.47
1,I,120,0.9
1,I,90,1.46
1,I,60,1.94
1,I,30,2.3
1,I,14,2.34
1,I,7,2.35
1,I,3,2.35
1,I,1,2.43
1,I,0,2.43
1,J,330,0.02
1,J,300,0.05
1,J,270,0.12
1,J,240,0.28
1,J,210,0.7
1,J,180,1.67
1,J,150,3.55
1,J,120,6.81
1,J,90,11.36
1,J,60,15.29
1,J,30,17.44
1,J,14,18.66
1,J,7,18.66
1,J,3,18.66
1,J,1,18.81
1,J,0,19.0
1,M,330,0.03
1,M,300,0.08
1,M,270,0.19
1,M,240,0.46
1,M,210,1.09
1,M,180,2.65
1,M,150,5.56
1,M,120,10.91
1,M,90,17.67
1,M,60,24.47
1,M,30,28.05
1,M,14,29.48
1,M,7,29.48
1,M,3,29.77
1,M,1,29.77
1,M,0,30.27
1,Q,330,0.0
1,Q,300,0.0
1,Q,270,0.0
1,Q,240,0.01
1,Q,210,0.03
1,Q,180,0.06
1,Q,150,0.13
1,Q,120,0.25
1,Q,90,0.41
1,Q,60,0.53
1,Q,30,0.64
1,Q,14,0.66
