flight_date,origin,destination,pos,fare_class,passengers,price
2025-07-24,DOH,DXB,QA,F,4,6290.34
2025-07-24,DOH,DXB,FR,J,3,3448.79
2025-07-24,DOH,DXB,AE,J,3,3418.55
2025-07-24,DOH,CDG,AE,J,3,2606.2
2025-07-24,DOH,JFK,QA,J,2,3226.95
2025-07-24,DOH,LHR,FR,F,4,4548.64
2025-07-24,DOH,DXB,FR,W,1,1033.2
2025-07-24,DOH,CDG,US,F,6,6104.54
2025-07-24,DOH,CDG,AE,J,2,2726.01
2025-07-24,DOH,JFK,UK,F,3,5728.15
2025-07-24,DOH,CDG,FR,W,2,1187.25
2025-07-24,DOH,JFK,AE,J,6,2861.66
2025-07-24,DOH,DXB,QA,J,5,2464.5
2025-07-24,DOH,JFK,US,F,1,5343.73
2025-07-24,DOH,DXB,QA,Y,2,1034.2
2025-07-24,DOH,JFK,UK,W,7,1277.01
2025-07-24,DOH,JFK,US,F,4,4261.9
2025-07-24,DOH,CDG,AE,J,2,3814.24
2025-07-24,DOH,LHR,QA,J,2,2755.08
2025-07-24,DOH,DXB,AE,J,2,2377.48
2025-07-24,DOH,JFK,AE,F,3,5732.44
2025-07-24,DOH,CDG,QA,W,4,1071.06
2025-07-24,DOH,JFK,FR,W,3,1121.73
2025-07-24,DOH,DXB,QA,J,2,3254.68
2025-07-24,DOH,JFK,US,F,4,4847.28
2025-07-24,DOH,CDG,AE,W,2,1203.39
2025-07-24,DOH,JFK,FR,Y,1,645.85
2025-07-24,DOH,LHR,AE,W,4,1076.09
2025-07-24,DOH,DXB,UK,W,2,1128.57
2025-07-24,DOH,DXB,US,Y,3,1038.17
2025-07-24,DOH,DXB,UK,F,2,4325.96
2025-07-24,DOH,DXB,AE,J,5,3588.28
2025-07-24,DOH,CDG,UK,W,3,1337.12
2025-07-24,DOH,DXB,US,W,3,1172.89
2025-07-24,DOH,DXB,QA,F,1,5239.31
2025-07-24,DOH,LHR,UK,J,1,2310.68
2025-07-24,DOH,LHR,QA,J,5,2266.79
2025-07-24,DOH,DXB,US,W,2,1193.47
2025-07-24,DOH,DXB,QA,Y,5,1068.97
2025-07-24,DOH,DXB,FR,F,3,5552.26
2025-07-24,DOH,LHR,UK,F,3,5818.21
2025-07-24,DOH,CDG,AE,W,3,1418.15
2025-07-24,DOH,JFK,US,F,3,5036.27
2025-07-24,DOH,JFK,UK,Y,2,705.8
2025-07-24,DOH,JFK,UK,J,3,2832.0
2025-07-24,DOH,LHR,FR,Y,4,1029.07
2025-07-24,DOH,JFK,QA,F,1,5704.72
2025-07-24,DOH,DXB,AE,F,3,5271.51
2025-07-24,DOH,DXB,UK,Y,1,613.76
2025-07-24,DOH,DXB,FR,Y,3,1031.73
2025-07-24,DOH,JFK,AE,F,5,6480.87
2025-07-24,DOH,JFK,QA,W,3,1246.19
2025-07-24,DOH,CDG,US,F,5,4846.17
2025-07-24,DOH,JFK,AE,F,7,5528.1
2025-07-24,DOH,JFK,US,Y,4,701.5
2025-07-24,DOH,DXB,US,F,1,4572.32
2025-07-24,DOH,DXB,FR,F,3,5928.04
2025-07-24,DOH,LHR,US,W,1,1025.56
2025-07-24,DOH,DXB,AE,F,3,5052.38
2025-07-24,DOH,CDG,FR,J,3,3725.75
2025-07-25,DOH,LHR,US,Y,3,978.97
2025-07-25,DOH,JFK,US,F,5,5950.94
2025-07-25,DOH,DXB,FR,F,7,4932.76
2025-07-25,DOH,CDG,US,Y,4,944.35
2025-07-25,DOH,DXB,US,J,2,2618.02
2025-07-25,DOH,DXB,AE,J,4,3389.47
2025-07-25,DOH,LHR,FR,F,1,6034.57
